delta	polyakov	permil	freq	lemmas
воздигл	воздвигл	0.24580170684705235	1.0	воздвигнути
богозданна	богоданна	0.24580170684705235	1.0	богоданный
врачеванию	врачевание	0.24580170684705235	1.0	врачевание
врачеванию	врачевании	0.24580170684705235	1.0	врачевание
врачеванию	врачеваний	0.24580170684705235	1.0	врачевание
врачеванию	врачевания	0.24580170684705235	1.0	врачевание
врачеванию	уврачеванию	0.24580170684705235	1.0	уврачевание
татары	тамары	0.9832068273882094	4.0	тамара
татары	татар	0.9832068273882094	4.0	татарин
ион	вон	0.24580170684705235	1.0	вон
ион	гион	0.24580170684705235	1.0	гион
ион	икон	0.24580170684705235	1.0	икона
ион	ин	0.24580170684705235	1.0	ин
ион	иоа	0.24580170684705235	1.0	иоа##
ион	иоан	0.24580170684705235	1.0	иоанн
ион	иов	0.24580170684705235	1.0	иов
ион	иод	0.24580170684705235	1.0	иод
ион	иой	0.24580170684705235	1.0	иой
ион	иона	0.24580170684705235	1.0	иона
ион	ионе	0.24580170684705235	1.0	иона
ион	ионо	0.24580170684705235	1.0	иона
ион	иону	0.24580170684705235	1.0	иона
ион	ионы	0.24580170684705235	1.0	иона
ион	ирон	0.24580170684705235	1.0	ирон
ион	иун	0.24580170684705235	1.0	иун##
ион	кион	0.24580170684705235	1.0	кион
ион	кон	0.24580170684705235	1.0	кон
ион	сион	0.24580170684705235	1.0	сион
ион	сон	0.24580170684705235	1.0	сон
ион	он	0.24580170684705235	1.0	он
тесныя	бесныя	0.4916034136941047	2.0	бесный
тесныя	десныя	0.4916034136941047	2.0	десный
тесныя	темныя	0.4916034136941047	2.0	темный
тесныя	тесная	0.4916034136941047	2.0	тесный
тесныя	тесны	0.4916034136941047	2.0	тесный
тесныя	тесный	0.4916034136941047	2.0	тесный
тесныя	тесным	0.4916034136941047	2.0	тесный
тесныя	тесных	0.4916034136941047	2.0	тесный
бденою	бдению	0.24580170684705235	1.0	бдение
бденою	бденною	0.24580170684705235	1.0	бденный
самобратний	самобратий	0.24580170684705235	1.0	самобратия
самобратний	самобратнии	0.24580170684705235	1.0	самобратный
прогневавшася	прогневашася	0.24580170684705235	1.0	прогневатися
непокаряющаяжеся	непокаряющыяжеся	0.24580170684705235	1.0	непокаряющийся+же
непокаряющаяжеся	непокаряющияжеся	0.24580170684705235	1.0	непокаряющийся+же
даровавы	даровав	0.24580170684705235	1.0	даровати
даровавы	даровавый	0.24580170684705235	1.0	даровати
светильницу	светильнику	0.24580170684705235	1.0	светильник
светильницу	светильница	0.24580170684705235	1.0	светильница
светильницу	светильницы	0.24580170684705235	1.0	светильник
позвавшему	познавшему	0.4916034136941047	2.0	познати
очуждився	отчуждився	0.24580170684705235	1.0	отчуждитися
очуждився	очуждимся	0.24580170684705235	1.0	очуждитися
очуждився	учуждився	0.24580170684705235	1.0	учуждитися
путеводными	путеводным	0.24580170684705235	1.0	путеводный
миродержитель	миродержители	0.24580170684705235	1.0	миродержитель
миродержитель	миродержителя	0.24580170684705235	1.0	миродержитель
прославяяй	прославляй	0.24580170684705235	1.0	прославляти
прославяяй	прославляяй	0.24580170684705235	1.0	прославляти
детородие	детородия	0.24580170684705235	1.0	детородие
благоразумная	благоразумна	0.24580170684705235	1.0	благоразумный
изюбилну	изобилну	0.24580170684705235	1.0	изобильный
благословениях	благословениих	0.24580170684705235	1.0	благословение
благословениях	благословения	0.24580170684705235	1.0	благословение
увенчанныя	увенчанная	0.4916034136941047	2.0	увенчати
увенчанныя	увенчанный	0.4916034136941047	2.0	увенчати
агели	авели	0.24580170684705235	1.0	авель
агели	аггели	0.24580170684705235	1.0	ангел
агели	ангели	0.24580170684705235	1.0	ангел
предхлодят	предходят	0.24580170684705235	1.0	предходити
незыблемом	незыблемем	0.24580170684705235	1.0	незыблемый
незыблемом	незыблемо	0.24580170684705235	1.0	незыблемый
незыблемом	незыблемое	0.24580170684705235	1.0	незыблемый
незыблемом	незыблемою	0.24580170684705235	1.0	незыблемый
незыблемом	незыблемым	0.24580170684705235	1.0	незыблемый
ратование	радование	0.24580170684705235	1.0	радование
укаряете	укаряет	0.24580170684705235	1.0	укаряти
обличающего	обличающаго	0.4916034136941047	2.0	обличати
отплыв	отплы	0.24580170684705235	1.0	отплыти
онаже	оноже	0.24580170684705235	1.0	онъ+же
онаже	оньже	0.24580170684705235	1.0	иже
псесвятая	всесвятая	0.24580170684705235	1.0	всесвятый
псесвятая	пресвятая	0.24580170684705235	1.0	пресвятый
поощряем	поощряет	0.24580170684705235	1.0	поощряти
видяши	видиши	0.9832068273882094	4.0	видети
видяши	видяше	0.9832068273882094	4.0	видети
видяши	видящи	0.9832068273882094	4.0	видети
преиоясани	препоясани	0.24580170684705235	1.0	препоясати
сверши	свергши	0.24580170684705235	1.0	сврещи/свергнути
сверши	сверзи	0.24580170684705235	1.0	сврещи/свергнути
сверши	свершив	0.24580170684705235	1.0	свершити
сверши	свершил	0.24580170684705235	1.0	свершити
сверши	соверши	0.24580170684705235	1.0	совершити
возложени	возложена	0.4916034136941047	2.0	возложити
возложени	возложение	0.4916034136941047	2.0	возложение
возложени	возложений	0.4916034136941047	2.0	возложение
возложени	возложению	0.4916034136941047	2.0	возложение
возложени	возложения	0.4916034136941047	2.0	возложение
возложени	возложено	0.4916034136941047	2.0	возложити
возложени	возложену	0.4916034136941047	2.0	возложити
возложени	возложен	0.4916034136941047	2.0	возложити
возложени	возложены	0.4916034136941047	2.0	возложити
быстр	быста	0.24580170684705235	1.0	быти
быстр	бысте	0.24580170684705235	1.0	быти
быстр	быстра	0.24580170684705235	1.0	быстрый
быстр	быстре	0.24580170684705235	1.0	быстре
быстр	быстро	0.24580170684705235	1.0	быстрый
быстр	быстру	0.24580170684705235	1.0	быстрый
быстр	бысть	0.24580170684705235	1.0	быти
истовии	истории	0.4916034136941047	2.0	историа
израилтяном	израильтяном	0.7374051205411569	3.0	израильтянин
испытне	испытнее	0.24580170684705235	1.0	испытный
испытне	испытно	0.24580170684705235	1.0	испытный
испытне	испытны	0.24580170684705235	1.0	испытный
нгел	ангел	0.24580170684705235	1.0	ангел
нгел	гел	0.24580170684705235	1.0	гел
пока	бока	0.4916034136941047	2.0	бок
пока	ока	0.4916034136941047	2.0	око
пока	пожа	0.4916034136941047	2.0	пожати
пока	пола	0.4916034136941047	2.0	пол
пока	полка	0.4916034136941047	2.0	полк
пока	пота	0.4916034136941047	2.0	пот
пока	тока	0.4916034136941047	2.0	ток
пока	фока	0.4916034136941047	2.0	фока
дерзавствующему	державствующему	0.24580170684705235	1.0	державствовати
изюбилен	изобилен	0.24580170684705235	1.0	изобильный
троеручице	троеручица	0.7374051205411569	3.0	троеручица
обольщении	обольщение	0.24580170684705235	1.0	обольщение
обольщении	обольщения	0.24580170684705235	1.0	обольщение
водахъ	водах	0.24580170684705235	1.0	вода
неутешная	неутешна	0.24580170684705235	1.0	неутешный
посвящено	посвящена	0.4916034136941047	2.0	посвятити
посвящено	посвящен	0.4916034136941047	2.0	посвятити
всяяко	всяко	0.24580170684705235	1.0	всяк
филологе	филолога	0.24580170684705235	1.0	филолог
филологе	филолог	0.24580170684705235	1.0	филолог
хвалище	хвалите	0.24580170684705235	1.0	хвалити
хвалище	хваляще	0.24580170684705235	1.0	хвалити
благоукраситель	благоукрасителю	0.4916034136941047	2.0	благоукраситель
изливавши	изливаеши	0.7374051205411569	3.0	изливати
кратия	братия	0.4916034136941047	2.0	братия
кратия	кравия	0.4916034136941047	2.0	кравий
кратия	кратир	0.4916034136941047	2.0	кратир
кратия	краткия	0.4916034136941047	2.0	краткий
кратия	кратшия	0.4916034136941047	2.0	краткий
додаст	подаст	0.24580170684705235	1.0	подати
привождаше	превождаше	0.24580170684705235	1.0	преводити
привождаше	прихождаше	0.24580170684705235	1.0	приходити
привождаше	провождаше	0.24580170684705235	1.0	провождати
свидениемъ	свидением	0.24580170684705235	1.0	свидение
призывавши	призвавши	0.4916034136941047	2.0	призвати
призывавши	призываеши	0.4916034136941047	2.0	призывати
царковию	церковию	1.2290085342352617	5.0	церковь
помилуетъ	помилует	0.24580170684705235	1.0	помиловати
пламенеюще	пламенеющее	0.24580170684705235	1.0	пламенети
пламенеюще	пламенеющею	0.24580170684705235	1.0	пламенети
костромским	костромский	0.24580170684705235	1.0	костромский
костромским	костромских	0.24580170684705235	1.0	костромский
костромским	костромския	0.24580170684705235	1.0	костромский
костромским	костромском	0.24580170684705235	1.0	костромский
озлобляемии	озлобляеми	0.24580170684705235	1.0	озлобляти
покинул	повинул	0.4916034136941047	2.0	повинути
сентябри	сентября	0.24580170684705235	1.0	сентябрь
присносветла	присносветлая	0.24580170684705235	1.0	присносветлый
христо	христа	0.24580170684705235	1.0	христос
христо	христе	0.24580170684705235	1.0	христос
христо	христов	0.24580170684705235	1.0	христов
христо	христом	0.24580170684705235	1.0	христос
христо	христос	0.24580170684705235	1.0	христос
христо	христу	0.24580170684705235	1.0	христос
ам	а	0.24580170684705235	1.0	#а##
ам	ад	0.24580170684705235	1.0	ад
ам	аж	0.24580170684705235	1.0	аж̑##
ам	аим	0.24580170684705235	1.0	аим
ам	ая	0.24580170684705235	1.0	##ая
ам	дам	0.24580170684705235	1.0	дати
ам	м	0.24580170684705235	1.0	м##
ам	ом	0.24580170684705235	1.0	##ом
ам	рам	0.24580170684705235	1.0	рам
ам	ем	0.24580170684705235	1.0	яти
ам	ум	0.24580170684705235	1.0	ум
ам	хам	0.24580170684705235	1.0	хам
ам	ям	0.24580170684705235	1.0	яма
ам	аз	0.24580170684705235	1.0	҂а҃з
ам	аи	0.24580170684705235	1.0	҂а҃и
ам	аф	0.24580170684705235	1.0	҂а҃ф
ам	рм	0.24580170684705235	1.0	р҃м
ам	см	0.24580170684705235	1.0	с҃м
ам	вам	0.24580170684705235	1.0	вы
ам	им	0.24580170684705235	1.0	и
ам	нам	0.24580170684705235	1.0	мы
ам	сам	0.24580170684705235	1.0	сам
ам	там	0.24580170684705235	1.0	там
простотой	простотою	0.24580170684705235	1.0	простота
наполнивши	наполниши	0.24580170684705235	1.0	наполнити
елиазара	елеазара	0.24580170684705235	1.0	елеазар
елиазара	елиазар	0.24580170684705235	1.0	елиазар
глубиие	глубине	0.24580170684705235	1.0	глубина
германова	германово	0.24580170684705235	1.0	германов
прозвавшим	призвавшим	0.24580170684705235	1.0	призвати
бывшего	бывшаго	0.4916034136941047	2.0	быти
рядостное	радостное	0.24580170684705235	1.0	радостный
собой	собор	0.7374051205411569	3.0	собор
собой	собою	0.7374051205411569	3.0	себе
нын	ныне	0.4916034136941047	2.0	ныне
нын	нун	0.4916034136941047	2.0	нун
нын	сын	0.4916034136941047	2.0	сын
нын	ны	0.4916034136941047	2.0	мы
пожирающия	пожирающии	0.4916034136941047	2.0	пожирати
пожирающия	попирающия	0.4916034136941047	2.0	попирати
предукрашен	преукрашен	0.24580170684705235	1.0	преукрасити
уединенном	уединенно	0.24580170684705235	1.0	уединенный
уединенном	уединенное	0.24580170684705235	1.0	уединенный
уединенном	уединенной	0.24580170684705235	1.0	уединенный
уединенном	уединенному	0.24580170684705235	1.0	уединенный
ххристе	христе	0.24580170684705235	1.0	христос
далмацию	далматию	0.24580170684705235	1.0	далматия
резрешитися	разрешитися	0.24580170684705235	1.0	разрешитися
совещающ	совещаю	0.24580170684705235	1.0	совещати
пресватла	пресветла	0.24580170684705235	1.0	пресветлый
ползными	полезными	0.24580170684705235	1.0	полезный
доблествовавшия	доблествовавши	0.24580170684705235	1.0	доблествовати
концыя	конныя	0.24580170684705235	1.0	конный
концыя	концы	0.24580170684705235	1.0	конец
огражденный	огражденных	0.24580170684705235	1.0	оградити
возставляющий	возставляющи	0.24580170684705235	1.0	возставляти
возставляющий	возставляющия	0.24580170684705235	1.0	возставляти
еводия	еводию	0.24580170684705235	1.0	еводия
обогащающий	обогащающи	0.24580170684705235	1.0	обогащати
преобидила	преобидела	0.24580170684705235	1.0	преобидети
воспитанныя	воспитанная	0.24580170684705235	1.0	воспитати
воспитанныя	воспитанный	0.24580170684705235	1.0	воспитати
воспитанныя	воспитанным	0.24580170684705235	1.0	воспитати
воспитанныя	воспитанных	0.24580170684705235	1.0	воспитати
безчеловечный	безчеловечным	0.24580170684705235	1.0	безчеловечный
безчеловечный	безчеловечных	0.24580170684705235	1.0	безчеловечный
безчеловечный	безчеловечныя	0.24580170684705235	1.0	безчеловечный
многочеловечну	многочеловечную	0.24580170684705235	1.0	многочеловечный
спешат	спеша	0.24580170684705235	1.0	спешити
спешат	спешит	0.24580170684705235	1.0	спешити
дахъ	дах	0.24580170684705235	1.0	дати
местехъ	местех	0.24580170684705235	1.0	место
покойная	покойна	0.4916034136941047	2.0	покойный
покойная	покойныя	0.4916034136941047	2.0	покойный
благогласне	благогласна	0.24580170684705235	1.0	благогласный
благогласне	благогласну	0.24580170684705235	1.0	благогласный
благогласне	благогласно	0.24580170684705235	1.0	благогласно
душеспасительный	душеспасительныя	0.24580170684705235	1.0	душеспасительный
душеспасительный	душеспасительней	0.24580170684705235	1.0	душеспасительный
душеспасительный	душеспасительных	0.24580170684705235	1.0	душеспасительный
стерший	старший	0.24580170684705235	1.0	старший
богозарное	богодарное	0.7374051205411569	3.0	богодарный
богозарное	богозарною	0.7374051205411569	3.0	богозарный
неиждивущее	неиждивущею	0.24580170684705235	1.0	неиждивущий
сейже	сейте	0.24580170684705235	1.0	сеяти
сейже	ейже	0.24580170684705235	1.0	иже
сейже	нейже	0.24580170684705235	1.0	иже
сейже	семже	0.24580170684705235	1.0	сей+же
сейже	сеяже	0.24580170684705235	1.0	сей+же
трезви	трезвы	0.24580170684705235	1.0	трезвый
несеянно	несеянна	0.24580170684705235	1.0	несеянный
прогоняйте	прогоняете	0.24580170684705235	1.0	прогоняти
сно	дно	0.24580170684705235	1.0	дно
сно	но	0.24580170684705235	1.0	но
сно	оно	0.24580170684705235	1.0	оно
сно	сено	0.24580170684705235	1.0	сено
сно	сна	0.24580170684705235	1.0	сон
сно	сне	0.24580170684705235	1.0	сон
сно	снов	0.24580170684705235	1.0	сон
сно	сном	0.24580170684705235	1.0	сон
сно	сноп	0.24580170684705235	1.0	сноп
сно	сну	0.24580170684705235	1.0	сон
сно	сн	0.24580170684705235	1.0	сын
сно	сны	0.24580170684705235	1.0	сон
сно	сня	0.24580170684705235	1.0	сняти
сно	со	0.24580170684705235	1.0	с
сно	юно	0.24580170684705235	1.0	юный
сно	ясно	0.24580170684705235	1.0	ясный
сно	снв	0.24580170684705235	1.0	сн҃в
сно	снг	0.24580170684705235	1.0	сн҃г
сно	снд	0.24580170684705235	1.0	сн҃д
сно	снз	0.24580170684705235	1.0	сн҃з
сно	снф	0.24580170684705235	1.0	сн҃ф
сно	ино	0.24580170684705235	1.0	ин
сно	сто	0.24580170684705235	1.0	сто
возненавидеше	возненавидевше	0.24580170684705235	1.0	возненавидети
возненавидеше	возненавидеша	0.24580170684705235	1.0	возненавидети
болярин	болярина	0.24580170684705235	1.0	болярин
болярин	болярине	0.24580170684705235	1.0	болярин
болярин	болярину	0.24580170684705235	1.0	болярин
покланиемому	покланяемому	0.24580170684705235	1.0	покланяти
незыблемую	незыблемою	0.24580170684705235	1.0	незыблемый
незыблемую	незыблему	0.24580170684705235	1.0	незыблемый
прозябанием	прозябением	0.24580170684705235	1.0	прозябение
житиям	витиям	0.4916034136941047	2.0	вития
житиям	житием	0.4916034136941047	2.0	житие
житиям	жития	0.4916034136941047	2.0	житие
житиям	житиями	0.4916034136941047	2.0	житие
житиям	житиях	0.4916034136941047	2.0	житие
житиям	питиям	0.4916034136941047	2.0	питие
нераскаяние	нераскаянне	0.24580170684705235	1.0	нераскаянне
еловом	оловом	0.24580170684705235	1.0	олово
еловом	словом	0.24580170684705235	1.0	слово
трубят	трубит	0.24580170684705235	1.0	трубити
возвещеиных	возвещенных	0.24580170684705235	1.0	возвестити
погибельна	погибельная	0.7374051205411569	3.0	погибельный
погибельна	погибельну	0.7374051205411569	3.0	погибельный
разлабленном	разслабленном	0.24580170684705235	1.0	разслабленный
смиренномудрую	смиренномудрию	0.24580170684705235	1.0	смиренномудрие
смиренномудрую	смиренномудру	0.24580170684705235	1.0	смиренномудрый
всепречистых	всепречистыя	0.24580170684705235	1.0	всепречистый
согрешающихъ	согрешающих	0.24580170684705235	1.0	согрешати
окормила	кормила	0.24580170684705235	1.0	кормило
уподобляяйся	сподобляяйся	0.24580170684705235	1.0	сподоблятися
уподобляяйся	уподобляйся	0.24580170684705235	1.0	уподоблятися
уподобляяйся	уподобляяся	0.24580170684705235	1.0	уподоблятися
диавольский	диавольским	0.24580170684705235	1.0	диавольский
диавольский	диавольских	0.24580170684705235	1.0	диавольский
диавольский	диавольския	0.24580170684705235	1.0	диавольский
диавольский	диавольской	0.24580170684705235	1.0	диавольский
иеремйе	иеремие	0.24580170684705235	1.0	иеремиа
неизцельна	неизцельная	0.24580170684705235	1.0	неисцельный
неизцельна	неизцельно	0.24580170684705235	1.0	неисцельный
неизцельна	неисцельна	0.24580170684705235	1.0	неисцельный
посажден	посаждени	0.24580170684705235	1.0	посадити
посажден	посаждено	0.24580170684705235	1.0	посадити
посажден	посаждену	0.24580170684705235	1.0	посадити
посажден	спосажден	0.24580170684705235	1.0	спосадити
дарованными	дарованным	0.24580170684705235	1.0	даровати
воссиявшим	возсиявшим	0.24580170684705235	1.0	возсияти
милутина	милутине	0.24580170684705235	1.0	милутин
зах	дах	0.24580170684705235	1.0	дати
зах	за	0.24580170684705235	1.0	за
зах	зак	0.24580170684705235	1.0	зак̑##
зах	зан	0.24580170684705235	1.0	занъ++++
зах	зач	0.24580170684705235	1.0	зачало
зах	заях	0.24580170684705235	1.0	заяти
зах	звах	0.24580170684705235	1.0	звати
зах	знах	0.24580170684705235	1.0	знати
зах	узах	0.24580170684705235	1.0	уза
возвелмичим	возвеличим	0.24580170684705235	1.0	возвеличити
воспользоваться	воспользоватися	0.24580170684705235	1.0	воспользоватися
неустанная	неуставная	0.24580170684705235	1.0	неуставный
неустанная	неустанныя	0.24580170684705235	1.0	неустанный
принял	приняв	1.4748102410823138	6.0	приняти
принял	приял	1.4748102410823138	6.0	прияти
иерейства	иерейство	0.24580170684705235	1.0	иерейство
положившия	положивши	0.7374051205411569	3.0	положити
положившия	положившии	0.7374051205411569	3.0	положити
положившия	положивший	0.7374051205411569	3.0	положити
положившия	положивших	0.7374051205411569	3.0	положити
положившия	положившыя	0.7374051205411569	3.0	положити
льстивными	льстивным	0.4916034136941047	2.0	льстивный
льстивными	льстивыми	0.4916034136941047	2.0	льстивый
просиявшего	просиявшаго	0.4916034136941047	2.0	просияти
свидетельствовавшии	свидетельствовавшим	0.24580170684705235	1.0	свидетельствовати
покрыта	покрыла	0.24580170684705235	1.0	покрыти
покрыта	покрыста	0.24580170684705235	1.0	покрыти
покрыта	покрыти	0.24580170684705235	1.0	покрыти
покрыта	покрыто	0.24580170684705235	1.0	покрыти
покрыта	покрыту	0.24580170684705235	1.0	покрыти
покрыта	покрыт	0.24580170684705235	1.0	покрыти
покрыта	покрыты	0.24580170684705235	1.0	покрыти
покрыта	покрыть	0.24580170684705235	1.0	покрыти
покрыта	покрыша	0.24580170684705235	1.0	покрыти
заложил	заложит	0.24580170684705235	1.0	заложити
заложил	наложил	0.24580170684705235	1.0	наложити
печальнику	печальника	0.4916034136941047	2.0	печальник
печальнику	печальник	0.4916034136941047	2.0	печальник
цветца	цвета	0.4916034136941047	2.0	цвет
цветца	цветцы	0.4916034136941047	2.0	цветец
разжжений	разжжение	0.4916034136941047	2.0	разжжение
разжжений	разжжении	0.4916034136941047	2.0	разжжение
разжжений	разжжения	0.4916034136941047	2.0	разжжение
разжжений	разжженый	0.4916034136941047	2.0	разжещи
вшедшими	вшедшии	0.24580170684705235	1.0	внити
вшедшими	вшедшим	0.24580170684705235	1.0	внити
многочудесней	многочудесный	0.4916034136941047	2.0	многочудесный
единончальная	единоначальная	0.24580170684705235	1.0	единоначальный
зосимою	зосимо	0.9832068273882094	4.0	зосима
умаливый	удаливый	0.24580170684705235	1.0	удалити
пламеноносный	пламенноносный	0.24580170684705235	1.0	пламеноносный
согреваемым	согреваемыя	0.24580170684705235	1.0	согревати
услышатъ	услышати	0.24580170684705235	1.0	услышати
услышатъ	услышат	0.24580170684705235	1.0	услышати
святйтелю	святителю	0.24580170684705235	1.0	святитель
созывающие	созывающе	0.4916034136941047	2.0	созывати
созывающие	созывающее	0.4916034136941047	2.0	созывати
созывающие	созывающи	0.4916034136941047	2.0	созывати
созывающие	созывающий	0.4916034136941047	2.0	созывати
царюс	царс	0.24580170684705235	1.0	царство
царюс	царю	0.24580170684705235	1.0	царь
царюс	царюя	0.24580170684705235	1.0	царевати
препровождая	препровождай	0.4916034136941047	2.0	препровождати
препровождая	препровождал	0.4916034136941047	2.0	препровождати
препровождая	препровождаю	0.4916034136941047	2.0	препровождати
приближившияся	приближившися	0.4916034136941047	2.0	приближитися
приближившияся	приближившыяся	0.4916034136941047	2.0	приближитися
преднаписуют	преднаписует	0.24580170684705235	1.0	преднаписовати
литурги	литургиа	1.9664136547764188	8.0	литургиа
литурги	литургии	1.9664136547764188	8.0	литургиа
литурги	литургию	1.9664136547764188	8.0	литургиа
литурги	литургия	1.9664136547764188	8.0	литургиа
забил	заби	0.24580170684705235	1.0	забити
забил	забыл	0.24580170684705235	1.0	забыти
ископовая	ископавая	0.24580170684705235	1.0	ископавати
ископовая	ископоваяй	0.24580170684705235	1.0	ископовати
начертающие	начертающе	0.24580170684705235	1.0	начертати
приметался	приметаюся	0.24580170684705235	1.0	приметатися
торжку	торжка	1.7206119479293664	7.0	торжок
жившия	живши	0.24580170684705235	1.0	жити
жившия	жившии	0.24580170684705235	1.0	жити
жившия	живших	0.24580170684705235	1.0	жити
жившия	жившыя	0.24580170684705235	1.0	жити
гангряном	гаггряном	0.4916034136941047	2.0	гангрянин
слышяй	слышай	0.24580170684705235	1.0	слышати
слышяй	слышя	0.24580170684705235	1.0	слышати
духомъ	духом	0.24580170684705235	1.0	дух
отвсти	отвести	0.24580170684705235	1.0	отвести
отвсти	отмсти	0.24580170684705235	1.0	отмстити
семи	седи	0.7374051205411569	3.0	седети
семи	семиа	0.7374051205411569	3.0	семиа
семи	семии	0.7374051205411569	3.0	семиа
семи	семо	0.7374051205411569	3.0	семо
семи	семя	0.7374051205411569	3.0	семя
семи	сени	0.7374051205411569	3.0	сень
семи	сери	0.7374051205411569	3.0	серый
семи	сети	0.7374051205411569	3.0	сеть
семи	сечи	0.7374051205411569	3.0	сечь++
семи	сещи	0.7374051205411569	3.0	сещи
семи	сеи	0.7374051205411569	3.0	се҃и
семи	сми	0.7374051205411569	3.0	см҃и
семи	всеми	0.7374051205411569	3.0	весь
семи	сами	0.7374051205411569	3.0	сам
семи	седми	0.7374051205411569	3.0	седмь
семи	сему	0.7374051205411569	3.0	сей
семи	сем	0.7374051205411569	3.0	сей
семи	сими	0.7374051205411569	3.0	сей
семи	теми	0.7374051205411569	3.0	той
царяградскаго	цареградскаго	0.24580170684705235	1.0	цареградский
ския	скит	0.24580170684705235	1.0	скитъ##
ския	скиф	0.24580170684705235	1.0	скиф
ския	слия	0.24580170684705235	1.0	слияти
ския	ски	0.24580170684705235	1.0	ск҃и
ския	кия	0.24580170684705235	1.0	кий
ския	сия	0.24580170684705235	1.0	сей
богорбдичо	богородичо	0.24580170684705235	1.0	богородичий
взимающегося	взимающагося	0.24580170684705235	1.0	взиматися
чудотворите	чадотворите	0.24580170684705235	1.0	чадотворити
чудотворите	чудотворити	0.24580170684705235	1.0	чудотворити
чудотворите	чудотворит	0.24580170684705235	1.0	чудотворити
воея	водя	0.24580170684705235	1.0	водити
воея	воев	0.24580170684705235	1.0	вой
воея	воем	0.24580170684705235	1.0	вой
воея	воех	0.24580170684705235	1.0	вой
воея	воля	0.24580170684705235	1.0	воля
воея	воня	0.24580170684705235	1.0	воня
воея	воюя	0.24580170684705235	1.0	воевати
воея	воя	0.24580170684705235	1.0	вой
воея	всея	0.24580170684705235	1.0	всеяти
воея	коея	0.24580170684705235	1.0	кий
воея	моея	0.24580170684705235	1.0	мой
воея	своея	0.24580170684705235	1.0	свой
воея	твоея	0.24580170684705235	1.0	твой
обратнтеся	обратитеся	0.24580170684705235	1.0	обратитися
пространным	пространнем	0.4916034136941047	2.0	пространный
пространным	пространном	0.4916034136941047	2.0	пространный
пространным	пространны	0.4916034136941047	2.0	пространный
пространным	пространные	0.4916034136941047	2.0	пространный
пространным	пространный	0.4916034136941047	2.0	пространный
пространным	пространными	0.4916034136941047	2.0	пространный
пространным	пространных	0.4916034136941047	2.0	пространный
оуст	иуст	0.24580170684705235	1.0	иуст
оуст	пуст	0.24580170684705235	1.0	пустый
оуст	уст	0.24580170684705235	1.0	уста
показуще	показующе	0.24580170684705235	1.0	показовати
основавшего	основавшаго	0.24580170684705235	1.0	основати
изыми	изми	0.7374051205411569	3.0	изъяти
изыми	изыди	0.7374051205411569	3.0	изыти
изыми	изыму	0.7374051205411569	3.0	изъяти
изыми	изыти	0.7374051205411569	3.0	изыти
изыми	изьми	0.7374051205411569	3.0	изъяти
изыми	иными	0.7374051205411569	3.0	ин
сосса	соса	0.7374051205411569	3.0	сос
сосса	сосца	0.7374051205411569	3.0	сосец
исшедшим	изшедшим	0.24580170684705235	1.0	изыти
совращаема	совращаемь	0.24580170684705235	1.0	совращати
марте	марие	0.24580170684705235	1.0	мариа
марте	марке	0.24580170684705235	1.0	марк
марте	марта	0.24580170684705235	1.0	март
марте	март	0.24580170684705235	1.0	март
марте	марфе	0.24580170684705235	1.0	марфа
распалаем	распалаема	1.2290085342352617	5.0	распалати
распалаем	распалаеми	1.2290085342352617	5.0	распалати
распалаем	распалаемь	1.2290085342352617	5.0	распалати
бурнем	бурне	0.4916034136941047	2.0	бурный
бурнем	бурным	0.4916034136941047	2.0	бурный
леснаго	деснаго	0.24580170684705235	1.0	десный
леснаго	лестнаго	0.24580170684705235	1.0	лестный
леснаго	теснаго	0.24580170684705235	1.0	тесный
ярославстей	ярославстем	0.24580170684705235	1.0	ярославский
божественнейшем	божественнейше	0.24580170684705235	1.0	божественный
божественнейшем	божественнейшее	0.24580170684705235	1.0	божественный
божественнейшем	божественнейшей	0.24580170684705235	1.0	божественный
божественнейшем	божественнейшему	0.24580170684705235	1.0	божественный
божественнейшем	божественнейшею	0.24580170684705235	1.0	божественный
божественнейшем	божественнейшим	0.24580170684705235	1.0	божественный
суздаля	суждаля	0.9832068273882094	4.0	суждаль
насадивши	насадиши	0.4916034136941047	2.0	насадити
насадивши	насадившия	0.4916034136941047	2.0	насадити
обновляюся	обновляйся	0.24580170684705235	1.0	обновлятися
обновляюся	обновляются	0.24580170684705235	1.0	обновлятися
обновляюся	обновляяся	0.24580170684705235	1.0	обновлятися
пространныя	пространная	0.24580170684705235	1.0	пространный
пространныя	пространны	0.24580170684705235	1.0	пространный
пространныя	пространные	0.24580170684705235	1.0	пространный
пространныя	пространный	0.24580170684705235	1.0	пространный
пространныя	пространных	0.24580170684705235	1.0	пространный
возводящего	возводящаго	0.24580170684705235	1.0	возводити
обращенны	обращенно	0.24580170684705235	1.0	обратити
обращенны	обращенный	0.24580170684705235	1.0	обратити
спостнику	постнику	0.24580170684705235	1.0	постник
спостнику	спостника	0.24580170684705235	1.0	спостник
спостнику	спостники	0.24580170684705235	1.0	спостник
спостнику	спостник	0.24580170684705235	1.0	спостник
почудитеся	почудистеся	0.4916034136941047	2.0	почудитися
почудитеся	почудится	0.4916034136941047	2.0	почудитися
сурожекую	сурожскую	0.24580170684705235	1.0	сурожский
врачеваше	уврачеваше	0.24580170684705235	1.0	уврачевати
христоподражателен	христоподражателе	0.4916034136941047	2.0	христоподражатель
